0 18d, 1 18c, 2 18a, 4 18a, 6 18b, 8 192, 10 197, 12 19a, 14 1a2, 16 1a6, 18 19d, 20 18f, 22 18b, 24 18d, 26 18e, 28 194, 30 196, 32 199, 34 198
0 09b, 1 0ad, 2 085, 4 086, 6 08b, 8 099, 10 0c8, 12 0b1, 14 0c9, 16 0c8, 18 0cc, 20 0c8, 22 0c7, 24 0ca, 26 0c2, 28 0ca, 30 0ca, 32 0ca, 34 0ca
0 070, 1 064, 2 058, 4 04f, 6 046, 8 046, 10 049, 12 04b, 14 055, 16 062, 18 071, 20 072, 22 07f, 24 085, 26 07e, 28 085, 30 085, 32 085, 34 085
0 053, 1 030, 2 090, 4 07b, 6 081, 8 085, 10 082, 12 066, 14 065, 16 05b, 18 059, 20 038, 22 02c, 24 031, 26 056, 28 03b, 30 03e, 32 03a, 34 038
0 021, 1 017, 2 023, 4 026, 6 02c, 8 030, 10 026, 12 037, 14 03a, 16 03b, 18 035, 20 026, 22 02d, 24 034, 26 037, 28 03c, 30 046, 32 04f, 34 055
0 01d, 1 011, 2 037, 4 039, 6 034, 8 02e, 10 030, 12 02d, 14 025, 16 020, 18 022, 20 021, 22 021, 24 024, 26 021, 28 024, 30 024, 32 024, 34 024
0 010, 1 010, 2 010, 4 010, 6 010, 8 010, 10 010, 12 010, 14 010, 16 010, 18 010, 20 010, 22 010, 24 010, 26 010, 28 010, 30 010, 32 010, 34 010
0 02d, 1 039, 2 03a, 4 03b, 6 03e, 8 043, 10 03a, 12 048, 14 04d, 16 04a, 18 044, 20 038, 22 031, 24 025, 26 019, 28 01c, 30 01a, 32 019, 34 019
0 12a, 1 12a, 2 12a, 4 12a, 6 12a, 8 12a, 10 12a, 12 12a, 14 12a, 16 12a, 18 12a, 20 12a, 22 12a, 24 12a, 26 12a, 28 12a, 30 12a, 32 12a, 34 12a
0 023, 1 017, 2 10d, 4 067, 6 032, 8 034, 10 059, 12 04c, 14 05d, 16 061, 18 074, 20 037, 22 02e, 24 01e, 26 031, 28 019, 30 010, 32 00c, 34 00e
0 172, 1 170, 2 178, 4 176, 6 178, 8 173, 10 175, 12 172, 14 173, 16 172, 18 170, 20 171, 22 177, 24 177, 26 17a, 28 17a, 30 177, 32 175, 34 173
0 11c, 1 277, 2 0bc, 4 078, 6 061, 8 106, 10 17b, 12 1dc, 14 257, 16 2d2, 18 31d, 20 321, 22 359, 24 366, 26 322, 28 32c, 30 2bb, 32 237, 34 18e
0 155, 1 102, 2 101, 4 102, 6 102, 8 100, 10 176, 12 15b, 14 1a0, 16 189, 18 197, 20 17e, 22 1a4, 24 19b, 26 16a, 28 193, 30 1a5, 32 1ac, 34 1ae
0 169, 1 27b, 2 11c, 4 071, 6 0a0, 8 156, 10 1dc, 12 216, 14 292, 16 303, 18 340, 20 34e, 22 36c, 24 366, 26 31c, 28 33f, 30 2f2, 32 28c, 34 1e9
0 0f2, 1 0de, 2 0d1, 4 0c4, 6 0d8, 8 0e2, 10 126, 12 147, 14 18b, 16 183, 18 196, 20 1ca, 22 209, 24 1ee, 26 132, 28 17d, 30 12a, 32 0f9, 34 0e3
0 133, 1 17c, 2 0fb, 4 0cd, 6 093, 8 093, 10 0d3, 12 107, 14 180, 16 1d0, 18 21c, 20 21f, 22 22e, 24 208, 26 1a4, 28 1e7, 30 1f2, 32 1f5, 34 1cd
0 101, 1 1f3, 2 0d6, 4 0b6, 6 0c7, 8 10b, 10 146, 12 178, 14 1e6, 16 25a, 18 2d9, 20 2d5, 22 2f5, 24 2c4, 26 268, 28 22e, 30 19a, 32 11c, 34 0b5
0 04f, 1 047, 2 161, 4 0a0, 6 039, 8 043, 10 047, 12 04c, 14 04a, 16 04b, 18 049, 20 048, 22 046, 24 043, 26 043, 28 043, 30 043, 32 043, 34 043
0 1c9, 1 209, 2 1d4, 4 1ae, 6 191, 8 1a1, 10 1bb, 12 1db, 14 20b, 16 223, 18 22d, 20 223, 22 228, 24 227, 26 216, 28 227, 30 227, 32 227, 34 227
0 11f, 1 241, 2 11e, 4 0c6, 6 0b7, 8 105, 10 156, 12 1c1, 14 250, 16 2a6, 18 31d, 20 315, 22 35c, 24 356, 26 2d9, 28 2d6, 30 273, 32 224, 34 187
0 06a, 1 0bc, 2 0d8, 4 0a8, 6 077, 8 05f, 10 0ea, 12 099, 14 0ed, 16 106, 18 148, 20 150, 22 14e, 24 126, 26 158, 28 0fc, 30 0cd, 32 09e, 34 093
0 133, 1 270, 2 0e1, 4 063, 6 09a, 8 131, 10 1b0, 12 1cf, 14 261, 16 2dc, 18 35d, 20 363, 22 3ba, 24 3d0, 26 375, 28 387, 30 30e, 32 291, 34 1f1
0 0de, 1 0ff, 2 0ed, 4 0cd, 6 0c4, 8 0ce, 10 151, 12 145, 14 1a8, 16 194, 18 1d6, 20 1a5, 22 1a0, 24 17c, 26 13f, 28 12e, 30 127, 32 11c, 34 105
0 14a, 1 1f7, 2 111, 4 110, 6 133, 8 174, 10 196, 12 1d4, 14 21f, 16 253, 18 27e, 20 278, 22 286, 24 270, 26 237, 28 22f, 30 1e1, 32 188, 34 11b
0 083, 1 082, 2 04d, 4 054, 6 05a, 8 053, 10 05a, 12 096, 14 0e5, 16 118, 18 16d, 20 170, 22 15f, 24 143, 26 0c8, 28 100, 30 0e6, 32 0da, 34 0d3
0 121, 1 1dc, 2 0cc, 4 096, 6 0a7, 8 100, 10 146, 12 183, 14 1e5, 16 218, 18 257, 20 278, 22 27c, 24 265, 26 244, 28 236, 30 1fa, 32 1bf, 34 17a
0 08e, 1 0db, 2 0bb, 4 0ae, 6 08f, 8 0aa, 10 0d4, 12 10e, 14 11a, 16 128, 18 181, 20 17e, 22 1a4, 24 192, 26 130, 28 14b, 30 12f, 32 118, 34 0c4
0 03a, 1 01f, 2 099, 4 088, 6 083, 8 076, 10 07a, 12 069, 14 05b, 16 058, 18 057, 20 03d, 22 031, 24 029, 26 026, 28 025, 30 028, 32 039, 34 057
0 08b, 1 07d, 2 05f, 4 05f, 6 05f, 8 05f, 10 05e, 12 05e, 14 061, 16 060, 18 069, 20 075, 22 088, 24 09f, 26 0b3, 28 0b8, 30 0c6, 32 0d1, 34 0d7
0 058, 1 055, 2 065, 4 06b, 6 078, 8 07f, 10 08c, 12 087, 14 09d, 16 0a4, 18 095, 20 08f, 22 067, 24 03d, 26 05a, 28 04a, 30 054, 32 056, 34 057
0 072, 1 079, 2 085, 4 085, 6 085, 8 085, 10 082, 12 085, 14 085, 16 084, 18 086, 20 085, 22 07e, 24 075, 26 06f, 28 06c, 30 066, 32 066, 34 064
0 0ac, 1 0a1, 2 09b, 4 09b, 6 09b, 8 09b, 10 097, 12 09f, 14 0a1, 16 0a4, 18 0c5, 20 0cb, 22 0c4, 24 0b2, 26 0a3, 28 0b2, 30 0a7, 32 09c, 34 0ab
